aesthetic|concerning the appreciation of beauty or taste.|/iːs.ˈθe.tɪk/|Her most recent works have this quirky, half-serious 90's teen culture-inspired aesthetic.|aesthetical, esthetic
plausible|seeming reasonable or probable.|/ˈplɔːz.ə.bəl/|a plausible excuse|
profound|very great, intense, or significant.|/pɹəˈfaʊnd/|a profound investigation|
prolific|producing many works, highly productive, or fertile.|/ˌpɹoʊˈlɪf.ɪk/|No sample sentence available.|fecund, fertile
resilient|able to withstand or recover quickly from difficult conditions.|/resilient/|No sample sentence available.|bendable, flexible
scrutinize|examine or inspect closely and thoroughly.|/ˈskɹuːtɨnaɪz/|to scrutinize the conduct or motives of individuals|
subsequent|coming after something in time; following.|/ˈsʌbsəkwənt/|Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.|next
superfluous|unnecessary, especially through being more than enough.|/sjʊˈpɜːflu.əs/|With a full rain suit, carrying an umbrella may be superfluous.|excessive, extra
sustain|strengthen or support physically or mentally.|/səˈsteɪn/|The city came under sustained attack by enemy forces.|
tenuous|very weak or slight connection or concept.|/ˈtɛn.ju.əs/|Far from being amicable, the numbers seemed to turn their backs on each other, and I couldn't find a pair with even the most tenuous connection.|delicate, gossamer
vulnerable|exposed to the possibility of being attacked or harmed.|/ˈvʌln(ə)ɹəbl̩/|It's okay to get vulnerable every now and again.|defenceless, helpless
acutely|in a highly sensitive, intense, or sharp manner.|/acutely/|No sample sentence available.|
advocate|publicly recommend or support a particular cause or policy.|/advocate/|No sample sentence available.|
alleviate|make (suffering, deficiency, or a problem) less severe.|/alleviate/|No sample sentence available.|
biased|unfairly prejudiced for or against someone or something.|/biased/|No sample sentence available.|
cohesive|characterized by or causing cohesion; working well together.|/cohesive/|No sample sentence available.|
corroborate|confirm or give support to a claim or finding.|/corroborate/|No sample sentence available.|
deviate|depart from an established course or normal standard.|/deviate/|No sample sentence available.|
empirical|based on, concerned with, or verifiable by observation or experience.|/empirical/|No sample sentence available.|
formidable|inspiring fear or respect through being impressively powerful or large.|/formidable/|No sample sentence available.|
incentive|a thing that motivates or encourages someone to do something.|/incentive/|No sample sentence available.|
inevitable|certain to happen; unavoidable.|/inevitable/|No sample sentence available.|
meager|lacking in quantity or quality; lean.|/meager/|No sample sentence available.|
prevalent|widespread in a particular area or at a particular time.|/prevalent/|No sample sentence available.|
reliability|the quality of being trustworthy or performing consistently well.|/reliability/|No sample sentence available.|
substantiate|provide evidence to support or prove the truth of.|/substantiate/|No sample sentence available.|
therapeutic|relating to the healing of disease; having a physical or mental good effect.|/therapeutic/|No sample sentence available.|
viable|capable of working successfully; feasible.|/viable/|No sample sentence available.|
adversity|difficulties; misfortune.|/adversity/|No sample sentence available.|
benevolent|well meaning and kindly; charitable.|/benevolent/|No sample sentence available.|
correlate|have a mutual relationship or connection.|/correlate/|No sample sentence available.|
divergent|tending to be different or develop in different directions.|/divergent/|No sample sentence available.|
empathy|the ability to understand and share the feelings of another.|/empathy/|No sample sentence available.|
implicit|implied though not plainly expressed.|/implicit/|No sample sentence available.|
pragmatic|dealing with things sensibly and realistically based on practical factors.|/pragmatic/|No sample sentence available.|
reticent|not revealing one's thoughts or feelings readily.|/reticent/|No sample sentence available.|
scrutiny|critical observation or examination.|/scrutiny/|No sample sentence available.|
tangible|perceptible by touch; clear and definite; real.|/tangible/|No sample sentence available.|
transient|lasting only for a short time; impermanent.|/transient/|No sample sentence available.|
validate|demonstrate or support the truth or value of.|/validate/|No sample sentence available.|
venerated|regarded with great respect; revered.|/venerated/|No sample sentence available.|
widespread|found or distributed over a large area or number of people.|/widespread/|No sample sentence available.|
zealot|a person who is fanatical and uncompromising in pursuit of their ideals.|/zealot/|No sample sentence available.|
allocation|the action or process of distributing resources.|/allocation/|No sample sentence available.|
complement|a thing that completes or brings to perfection.|/complement/|No sample sentence available.|
depict|represent by a drawing, painting, or other art form; portray.|/depict/|No sample sentence available.|
fluctuate|rise and fall irregularly in number or amount.|/fluctuate/|No sample sentence available.|
integrate|combine elements into a cohesive, unified whole.|/integrate/|No sample sentence available.|
parameter|a numerical or other measurable factor forming one of a set that defines a system.|/parameter/|No sample sentence available.|
Bloodbath|massacreCruel – meanImportant – meaningfulQuite – fairlyIn the meantime – meanwhileReminiscence – memoryObligatory – compulsoryUnforeseen – unexpectedAfter – following, nextIntellectual – mentalContemporary – modernHumble – modestReligious – devoutImpolite – rudeSecond – momentTemper – moodImmobile – motionlessMobile – moveableHearsay – rumorPattern – sampleHomicide – murderIncidentally – by the wayTo condemn – to sentenceIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/bloodbath/|No sample sentence available.|
Devil|satanPassable – satisfactoryContented – satisfiedWarranty – guaranteeMeager – scantyAlmost – nearlyAfraid – scaredDull – bluntComic – comedianStupid – sillyTo renew – to resumeHint – trace, tipUncared for – neglectedDamage – hurtEasy – simpleTransparent – obviousMoment – occasionTo beat – to defeatUnbiased – impartialRude – impoliteDeserted – abandonedTo denote – to indicate, to representUnmarried – singleIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/devil/|No sample sentence available.|
Cry|sobFoxy – cunningDepraved – wicked, evilAbility – skillScrumptious – deliciousMysterious – occultCouch – sofaVacancy – emptinessSpecial – exceptionalDaybreak – dawnTrivial – worthlessNaked – bareTo bring sth. Back – to reintroduceArise – occurConvention – conferenceUninjured – unhurtMild – gentleEarth – soilMovie – filmBeneficial – favorableIELTS Vocabulary Words List 2To illustrate – to demonstrateTo hazard – to endangerIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/cry/|No sample sentence available.|
Worn|oldEverlasting – eternalEnemy – opponentModern – contemporaryUncommon – unusualNon – stopPressing – urgentAmateur – beginnerTo narrate – to relatePossibility – opportunityAbandon – forsakeContrary – oppositeFamous – famed, renownedMilitant – combativePoisonous – toxicDirty – soiledHelp – aidTo intend – to meanAssociation – organizationContinue – persistBranch – departmentFool – idiotParticular – specificIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/worn/|No sample sentence available.|
Upset|perturbInventory – stockIndependent – autonomousTo bring sb. Up – to raiseConservative – cautiousTo oversee – to superviseSurplus – excessDecontrol – deregulateNervous – perturbedChoosy – pickyMidway – halfwayDeliberate – plannedFantastic – great, brilliantImpatient – eagerBelievable – plausibleOmnipotent – allTo imitate – to mimicBelly – stomachNice – pleasingGratis – free of chargeWell mannered – politeAble – capableTo glitter – to sparkleIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/upset/|No sample sentence available.|
Ballot|pollFormerly – previouslyNew – freshPrecept – principleApprove – endorseBefore – priorMust Learn: Most Basic Vocabulary words for BeginnersFanatic – enthusiastPrecedence – priorityYield – produceEconomic – profitableSuggest – proposeInheritor – heirUnusual – strangeImpasse – deadlockThrive – prosperSuccessful – prosperousHypothesis – speculationHard – firmBackbone – spineConstitution – structureSunrise – dawnValueless – worthlessIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/ballot/|No sample sentence available.|
Awful|atrociousTo demonstrate – to protestAdult – grownMeasure – degreeDivide – splitManmade – artificialTo put sth. Back – to postponeCussed – stubbornLoveable – habitableObdurate – stubbornIntermittent – sporadicDrastic – extremeMoreover – in additionDetached – indifferentImmaculate – spotlessVocabulary Words for Ielts List 3Dedicated – committedIgnorant – unawareConstant – fixedIntolerant – bigotedCongested – stuffedTo symbolize – to representDash – sprintIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/awful/|No sample sentence available.|
Hunger|starvationStable – steadyStable – steadyEgocentric – selfishHospitable – cordialLegitimate – valid, levaMindless – senselessDestiny – fateTouchy – sensitiveLoopy – crazyImperative – vitalBusiness – commerce, tradeHonest – truthfulNapkin – servietteDisgrace – shameConfederate – accompliceTo enquire – to investigateSure – certainTo provide – to supplyPhantasm – illusionScarcity – shortageDelicate – fragileDull (person) – stupidIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/hunger/|No sample sentence available.|
Dawn|daybreakAbout – approximatelyTo hawk – to peddleConstantly – alwaysTo overlook – to missBarren – infertileMerciless – cruelBizarre – weirdContinuous – continualMaximum – uppermostBum – backside, behind, bottomTo mirror – to reflectCommencement – graduationDumb – stupidUsually – generally, normallyBecoming – fittingConcord – harmonyAlways – foreverBashful – shySoiled – dirtyDaring – boldTo expire – to run outInsufficient – inadequateIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/dawn/|No sample sentence available.|
Signal|signFoolish – sillyCandy – sweetHappily – fortunatelyWord – synonymInflow – influxSurroundings – environmentTailored – tailorImpassive – emotionlessDocile – tameTransitory – temporaryInternal – innerA narrative – a storyTo mimic – to imitateGay – homosexualBid – tenderOrganic – biologicalTo confine – to restrictConvenient – handyTo migrate – emigrateVocabulary Words for Ielts List 4Blameless – innocentCrazy – insaneIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/signal/|No sample sentence available.|
Noted|famousMadness – insanityArrogant – haughtyAwful – terribleTo disclaim – to denyTo vary – to differAccurate – correctSacristy – vestryDreadful – terribleImmoderate – excessiveCozy – comfortableGarbage can – trashcanPerception – insightHang – outImmediate – instantMind – intellectVague – indistinctUnderstandable – comprehensibleIndisputable – undeniableTerror – terrorismHighbrow – intellectualCube – diceRemoted – isolatedIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/noted/|No sample sentence available.|
Well timed|timelyGratuity – tipDisadvantaged – deprivedAbundant – ampleTo misconceive – to misunderstandDenims – jeansConnect – joinEcstasy – joyMagistrate – justice of the peaceEager – keenWise – knowingCrusade – campaignTo establish – to set upNeutral – impartialVicious – ferociousInterplay – interactionTo desert – to abandonTouchdown – landingOblique – indirectTo accomplish – to achieveHashish – cannabisTo close – to shutDefective – faultyIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/well timed/|No sample sentence available.|
Mischievous|impishDormant – inactiveIdle – lazyTurbulent – blusteringTo disclose – to revealDally – loiterIsolated – lonelyMissing – lostDrab – dullFortunate – luckyOff – seasonMendacity – lyingSuperb – magnificentLeading – mainChiefly – mainlyAggressive – militantNoon – middayVague – indistinctMisfortune – mishapMisread – misinterpretDeceptive – misleadingLacking – missingJealous – enviousIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/mischievous/|No sample sentence available.|
Doubt|mistrustWrong – mistakenAway – absentTo notify – to informMannequin – modelDicey – riskyEmpty – drainMisery – distressImpartial – neutralImpartial – neutralTo behave – to actBendy – flexibleExtra – additionalWords for Ielts List 4To administer – to manageMurderer – assassinTo maintain – to preserveMediocre – fairAromatic – fragrantDispute – debateAmbitious – aspiringTo foretell – to predictTo ignore – to disregardIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/doubt/|No sample sentence available.|
Virtue|advantageTo cope – to manageAppreciable – considerableDisagreeable – unpleasantRubbish – nonsenseTo bear on sth. – to affectLousy – awfulTo consult – to refer toCranky – crossMackintosh – waterproof coatPocket book – notebookMiddleman – intermediaryPaper money – notesInfamous – notoriousMirth – funSelection – choiceTo quake – to trembleToday – nowadaysSelf – assuredMean – unkindContaminate – defileImpediment – obstacleConstruction (lit.) – interpretationIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/virtue/|No sample sentence available.|
Hostile|antagonisticTo function – to operateApparent – obviousComfort – consolationUnstated – unspokenEnormous – huge, immenseSincere – honestImperfect – faultyObsolete – out of dateAbove – overheadTotal – entire,Twosome – pairEspecially – particularlyMonotonous – boringTo hurry – to rushArdor – passionGut – intestineIdentical – duplicateImmodest – conceitedUntrue – unfaithfulAchieve – accomplishTo annoy – to irritate, to botherAwkward – clumsyIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/hostile/|No sample sentence available.|
Completely|totallyPost – mortemTo elevate – to raise, to promoteInsolvent – bankruptTo rue – to regretEssential – fundamentalPeaceable – peacefulNightfall – duskHandsome – goodStupid – denseZenith – peakVacant – emptyFragrance – perfumeMaybe – perhaps, possiblyAid – help, assistBad (not good) – poor, naughtyMagician – conjurorUnfortunate – unluckyGravestone – headstoneHousebreaking – burglaryTo grab – to seizeRefrain – chorusTo disappear – to vanishIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/completely/|No sample sentence available.|
Painting|portrayAdjourn – postponeInstructions – directionsMomentous – powerfulPriority – precedenceStationary – fixedPraise – complimentInsufferable – unbearablePrevious – precedingExactly – preciselyMistrust – distrustEarly – prematureUntimely – prematureAntagonize – provokeCitation – quotationNaughty – disobedientCheesy – corny, tackyHuge – vastHole – gapMagnify – expandLethal – deadlyImmune – exemptMourn – grieveIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/painting/|No sample sentence available.|
Ban|forbidInfrequent – rareSpontaneous – automaticTo cite – to quoteUncooked – rawArrive – reach, comeDark – dismalUnlawful – illegalKnowingly – deliberatelyModerately – reasonablyInsurgent – rebelUprising – rebellionClerk – receptionistMiserable – depressingCurative – healingEquity – fairnessImmature – inexperiencedArtful – craftyPractically – virtuallyConscious – awareTo arrive – to reachApparent – evidentCrook – criminalIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/ban/|No sample sentence available.|
Unvoiced|voicelessVocabulary Words for Ielts List 5Negligent – inattentiveTo differentiate – to distinguishInferior – substandardWin – succeedHold – graspTo nominate – to appointTo near – to approachTo impact – to affectCharter – constitutionEccentric – unusualConsecutive – successiveMorose – sullenDisagree – differInvoice – billTo withstand – to resistInsupportable – intolerableMeeting – assemblyTo convey – to communicateTo denationalize – to privatizeAbstract – summaryAttractive – appealingIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/unvoiced/|No sample sentence available.|
Illiberal|intolerantTo overhaul – to overtakeAnyway – besidesTo respond – to replyPrecis – summaryDry – aridTo minimize – to play downSatisfied – convincedVain – uselessTo conform – to complyConflict – clashTwister – tornadoTo float – to driftInstinct – intuitionTo admit – to confessTo intensify – to heightenIntriguing – fascinatingModerate – lenientMinor – lesserTo infect – to contaminateTo vacuum – to hooverRemovable – detachableSundown – sunsetIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/illiberal/|No sample sentence available.|
Joy|delightEncourage – supportClass – lesson, courseTo vanquish – to conquerTurmoil – disturbanceTo transform – to convertTo deprave – to corruptTo chop – to cutTo diminish – to decreaseTo involve – to entailTo magnify – to exaggerateConstancy – fidelityOrnament – decorationDiminish – curtailNugatory – worthlessRevolting – disgustingTorpid – lethargicPrompt – immediateTo operate – to functionVast – hugeTo hand sth. Out – to distributeTo inspect – to examineTo collect – to gatherIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/joy/|No sample sentence available.|
Impetuous|recklessTo receive – to getBeneficent – generousNameless – anonymousTo confuse – to mix upOverseas – abroadTo deduce – to inferHigh – elevatedConvalesce – recoverOutside – externalTo renounce – to give upMore and more – increasinglyTo grouse – to grumbleTo assure – to guaranteeAdvocate – supportCoiffure – hairstyleForehead – browDiscount – reductionTo appear – to seemExcept – apart fromTo survive – to outliveMigrant – driftingDead – lifelessIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/impetuous/|No sample sentence available.|
Notwithstanding|howeverA native – a localTo visualize – to imagineInformal – casualTo begin – to startInfuriate – enrageAnimated – livelyChorus – refrainNecessary – essentialProvided – ifRemorse – regretDomesticate – cultivateSteady – regularTestament – testimonyIf – whetherApplicable – relevantDifficult – hardTrustworthy – reliableMend – repairMoral – ethicalNobility – the aristocracyRepute – reputationAbbreviate – condenseIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/notwithstanding/|No sample sentence available.|
Unhurt|unharmedImperative – crucialDilute – weaken, thinProsperous – affluentTo fabricate – to manufactureReasonable – fairIdler – loaferMandatory – requiredSuppress – restrainDossier – fileLucid – clearComplete – totalDiverse – distinctBackside – behind, bottomTo answer – to replyHome – domesticMatters – thingsCorrect – rightBrow – foreheadRemainder – the restObject – thingHermetic – airtightTo learn – to memorizeIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/unhurt/|No sample sentence available.|
Considerate|thoughtfulConsiderate – thoughtfulUrgent – importantInconsiderate – thoughtlessSilly – foolishIelts Vocabulary Words with Meaning List 6Neat – tidyTo evaluate – to assessSubstantially – considerablyDangerous – unsafeTo connect – to associate, to put through (telephone)Hall – corridorFrench dressing – vinaigretteTo explode – to blow upTo collapse – to break downTo accumulate – to build upLivid – furiousRemark – commentVibrate – trembleTo bring sth. On – to causeInflexible – rigidTo select – to chooseSpotlight – highlightIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/considerate/|No sample sentence available.|
To illuminate|to clarify; to light upDisaster – catastropheTo encounter – to come acrossTo emphasize – to stressInnocent – harmlessUndeniable – indisputableHumiliate – embarrassBeautiful – attractiveTo impeach – to questionBloodless – coldHard – toughDubious – doubtfulReliable – dependableMaterial – fabricInfantile – childishTo imagine – to suppose, to assumeClever – intelligentDeliberately – intentionallyLast – finalBrave – courageousWinery – vineyardImproving your IELTS ScoreA great way to improve your IELTS score is by improving your IELTSIELTS V ocabulary 1000 Words List PDF - IELTS Worldly https://www.ieltsworldly.com/ielts-vocabulary/|/to illuminate/|No sample sentence available.|
Famous Well|known, Renowned, Eminent, Illustrious|/famous well/|No sample sentence available.|
Splendid, Genuine, Sterling, Top|notch,|/splendid, genuine, sterling, top/|No sample sentence available.|
adherent|High-frequency English word|/adherent/|No sample sentence available.|
always|High-frequency English word|/always/|No sample sentence available.|
irrepressible|High-frequency English word|/irrepressible/|No sample sentence available.|
kindred|High-frequency English word|/kindred/|No sample sentence available.|
calumny|High-frequency English word|/calumny/|No sample sentence available.|
mutinous|High-frequency English word|/mutinous/|No sample sentence available.|
different|High-frequency English word|/different/|No sample sentence available.|
reason|High-frequency English word|/reason/|No sample sentence available.|
despair|High-frequency English word|/despair/|No sample sentence available.|
racket|High-frequency English word|/racket/|No sample sentence available.|
acumen|High-frequency English word|/acumen/|No sample sentence available.|
encumbrance|High-frequency English word|/encumbrance/|No sample sentence available.|
intriguing|High-frequency English word|/intriguing/|No sample sentence available.|
sacred|High-frequency English word|/sacred/|No sample sentence available.|
allure|High-frequency English word|/allure/|No sample sentence available.|
kind|High-frequency English word|/kind/|No sample sentence available.|
adequate|High-frequency English word|/adequate/|No sample sentence available.|
drab|High-frequency English word|/drab/|No sample sentence available.|
invincible|High-frequency English word|/invincible/|No sample sentence available.|
remonstrate|High-frequency English word|/remonstrate/|No sample sentence available.|
adjourn|High-frequency English word|/adjourn/|No sample sentence available.|
irritate|High-frequency English word|/irritate/|No sample sentence available.|
defray|High-frequency English word|/defray/|No sample sentence available.|
prosperous|High-frequency English word|/prosperous/|No sample sentence available.|
feud|High-frequency English word|/feud/|No sample sentence available.|
sterile|High-frequency English word|/sterile/|No sample sentence available.|
competent|High-frequency English word|/competent/|No sample sentence available.|
odious|High-frequency English word|/odious/|No sample sentence available.|
add|High-frequency English word|/æd/|When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with.|coalesce, join
invective|High-frequency English word|/invective/|No sample sentence available.|
adamant|High-frequency English word|/adamant/|No sample sentence available.|
intrinsic|High-frequency English word|/intrinsic/|No sample sentence available.|
adjunct|High-frequency English word|/adjunct/|No sample sentence available.|
deliberate|High-frequency English word|/deliberate/|No sample sentence available.|
jaded|High-frequency English word|/jaded/|No sample sentence available.|
prudence|High-frequency English word|/prudence/|No sample sentence available.|
admonish|High-frequency English word|/admonish/|No sample sentence available.|
jejune|High-frequency English word|/jejune/|No sample sentence available.|
adult|High-frequency English word|/adult/|No sample sentence available.|
join|High-frequency English word|/join/|No sample sentence available.|
dead|High-frequency English word|/dead/|No sample sentence available.|
probable|High-frequency English word|/ˈpɹɒbəbl̩/|It's probable that it will rain tomorrow.|
abundant|High-frequency English word|/abundant/|No sample sentence available.|
courteous|High-frequency English word|/courteous/|No sample sentence available.|
interesting|High-frequency English word|/interesting/|No sample sentence available.|
polite|High-frequency English word|/polite/|No sample sentence available.|
drastic|High-frequency English word|/drastic/|No sample sentence available.|
remorse|High-frequency English word|/remorse/|No sample sentence available.|
hapless|High-frequency English word|/hapless/|No sample sentence available.|
umbrage|High-frequency English word|/umbrage/|No sample sentence available.|
easy|High-frequency English word|/easy/|No sample sentence available.|
retract|High-frequency English word|/retract/|No sample sentence available.|
congested|High-frequency English word|/congested/|No sample sentence available.|
outrageous|High-frequency English word|/outrageous/|No sample sentence available.|
accurate|High-frequency English word|/accurate/|No sample sentence available.|
condense|High-frequency English word|/condense/|No sample sentence available.|
internal|High-frequency English word|/internal/|No sample sentence available.|
optimistic|High-frequency English word|/optimistic/|No sample sentence available.|
dilute|High-frequency English word|/dilute/|No sample sentence available.|
recreation|High-frequency English word|/recreation/|No sample sentence available.|
of|High-frequency English word|/of/|No sample sentence available.|
PM|High-frequency English word|/pm/|No sample sentence available.|
intricate|High-frequency English word|/intricate/|No sample sentence available.|
capture|High-frequency English word|/capture/|No sample sentence available.|
nervous|High-frequency English word|/nervous/|No sample sentence available.|
captivity|High-frequency English word|/captivity/|No sample sentence available.|
negligent|High-frequency English word|/negligent/|No sample sentence available.|
active|High-frequency English word|/active/|No sample sentence available.|
intrigue|High-frequency English word|/intrigue/|No sample sentence available.|
achieve|High-frequency English word|/achieve/|No sample sentence available.|
intolerant|High-frequency English word|/intolerant/|No sample sentence available.|
chubby|High-frequency English word|/chubby/|No sample sentence available.|
obliging|High-frequency English word|/obliging/|No sample sentence available.|
jolly|High-frequency English word|/jolly/|No sample sentence available.|
endeavor|High-frequency English word|/endeavor/|No sample sentence available.|
sad|High-frequency English word|/sad/|No sample sentence available.|
base|High-frequency English word|/base/|No sample sentence available.|
luscious|High-frequency English word|/luscious/|No sample sentence available.|
ominous|High-frequency English word|/ominous/|No sample sentence available.|
conscious|High-frequency English word|/conscious/|No sample sentence available.|
painstaking|High-frequency English word|/painstaking/|No sample sentence available.|
atrocious|High-frequency English word|/atrocious/|No sample sentence available.|
lenient|High-frequency English word|/lenient/|No sample sentence available.|
gorgeous|High-frequency English word|/gorgeous/|No sample sentence available.|
fast|High-frequency English word|/fast/|No sample sentence available.|
jovial|High-frequency English word|/jovial/|No sample sentence available.|
spry|High-frequency English word|/spry/|No sample sentence available.|
indigent|High-frequency English word|/indigent/|No sample sentence available.|
yell|High-frequency English word|/yell/|No sample sentence available.|
audacity|High-frequency English word|/audacity/|No sample sentence available.|
authentic|High-frequency English word|/authentic/|No sample sentence available.|
liable|High-frequency English word|/liable/|No sample sentence available.|
aid|High-frequency English word|/aid/|No sample sentence available.|
justify|High-frequency English word|/justify/|No sample sentence available.|
allay|High-frequency English word|/allay/|No sample sentence available.|
hideous|High-frequency English word|/hideous/|No sample sentence available.|
keen|High-frequency English word|/keen/|No sample sentence available.|
vague|High-frequency English word|/vague/|No sample sentence available.|
alien|High-frequency English word|/alien/|No sample sentence available.|
juvenile|High-frequency English word|/juvenile/|No sample sentence available.|
detach|High-frequency English word|/detach/|No sample sentence available.|
ratify|High-frequency English word|/ratify/|No sample sentence available.|
censure|High-frequency English word|/censure/|No sample sentence available.|
notion|High-frequency English word|/notion/|No sample sentence available.|
impulsive|High-frequency English word|/impulsive/|No sample sentence available.|
win|High-frequency English word|/win/|No sample sentence available.|
keep|High-frequency English word|/keep/|No sample sentence available.|
fatigue|High-frequency English word|/fatigue/|No sample sentence available.|
stable|High-frequency English word|/stable/|No sample sentence available.|
dumb|High-frequency English word|/dumb/|No sample sentence available.|
resentment|High-frequency English word|/resentment/|No sample sentence available.|
amateur|High-frequency English word|/amateur/|No sample sentence available.|
contaminate|High-frequency English word|/contaminate/|No sample sentence available.|
knave|High-frequency English word|/knave/|No sample sentence available.|
perfect|High-frequency English word|/perfect/|No sample sentence available.|
consolidate|High-frequency English word|/consolidate/|No sample sentence available.|
peculiar|High-frequency English word|/peculiar/|No sample sentence available.|
glad|High-frequency English word|/glad/|No sample sentence available.|
thrifty|High-frequency English word|/thrifty/|No sample sentence available.|
complex|High-frequency English word|/complex/|No sample sentence available.|
offend|High-frequency English word|/offend/|No sample sentence available.|
entirely|High-frequency English word|/entirely/|No sample sentence available.|
scanty|High-frequency English word|/scanty/|No sample sentence available.|
cranky|High-frequency English word|/cranky/|No sample sentence available.|
possible|High-frequency English word|/possible/|No sample sentence available.|
impute|High-frequency English word|/impute/|No sample sentence available.|
winsome|High-frequency English word|/winsome/|No sample sentence available.|
fanatical|High-frequency English word|/fanatical/|No sample sentence available.|
special|High-frequency English word|/special/|No sample sentence available.|
care|High-frequency English word|/care/|No sample sentence available.|
neutral|High-frequency English word|/neutral/|No sample sentence available.|
dirty|High-frequency English word|/dirty/|No sample sentence available.|
